"Code","Name"
"(any manufacturer)","(Used for generic aircraft types)"
"328 SUPPORT SERVICES","328 Support Services GmbH (Germany)"
"328 SUPPORT SERVICES GMBH","328 SUPPORT SERVICES GMBH (GERMANY)"
"3XTRIM","Zaklady Lotnicze 3Xtrim Sp z oo (Poland)"
"A-41","Cong Ty Su'A Chu'A May Bay A-41 (Vietnam)"
"AAC","AAC Amphibiam Airplanes of Canada (Canada)"
"AAK","Australian Aircraft Kits Pty Ltd (Australia)"
"AAMSA","Aeronautica Agricola Mexicana SA (Mexico)"
"AASI","Advanced Aerodynamics and Structures Inc (United States)"
"ABHCO","Arab British Helicopter Company (Egypt)"
"ABS","ABS Aircraft (Germany)"
"ABS AEROLIGHT","ABS Aérolight (France)"
"ACBA","Aéro Club de Bas Armagnac (France)"
"ACE","Ace Aircraft Manufacturing and Supply (United States)"
"ACEAIR"," Aceair SA (Switzerland)"
"ACES HIGH","Aces High Light Aircraft Ltd (Canada)"
"ACRO SPORT","Acro Sport Inc (United States)"
"ACS","Advanced Composites Solutions (Brazil)"
"AD AEROSPACE","AD Aerospace Ltd (United Kingdom)"
"ADA","Aeronautical Development Agency (India)"
"ADAM (1)","Roger Adam (France)"
"ADAM (2)","Adam Aircraft Industries LLC (United States)"
"ADAMS","Adams Industries Inc (United States)"
"ADVANCED AEROMARINE","Advanced Aeromarine (United States)"
"ADVANCED AIRCRAFT","Advanced Aircraft Corporation (United States)"
"ADVANCED AVIATION","Advanced Aviation Inc (United States)"
"ADVENTURE AIR","Adventure Air (United States)"
"AEA","Aeronautical Engineers Australia Research Pty Ltd (Australia)"
"AERFER-AERMACCHI","see AERFER and AERMACCHI"
"AERITALIA","Aeritalia-Società Aerospaziale Italiana pA (Italy)"
"AERITALIA-AERMACCHI","see AERITALIA and AERMACCHI"
"AERMACCHI","Aermacchi SpA (Italy)"
"AERO (1)","Aero Design and Engineering Company (United States)"
"AERO (2)","Aero Vodochody AS (Czech Republic)"
"AERO (3)","Aero Sp z oo (Poland)"
"AERO ADVENTURE","Aero Adventure Inc (United States)"
"AERO BOERO","Aero Boero SA (Argentina)"
"AERO COMMANDER","Aero Commander Inc (United States)"
"AERO DESIGNS","Aero Designs Inc (United States)"
"AERO ELI","Aero Eli Servizi (Italy)"
"AERO GARE","Aero Gare (United States)"
