ticker,long_name,short_name,unit
AKDCM1 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M1,Sin Jet Ker Cr Dub 1st Cr M1,USD/barrel
AKDCM2 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M2,Sin Jet Ker Cr Dub 1st Cr M2,USD/barrel
AKDCM3 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M3,Sin Jet Ker Cr Dub 1st Cr M3,USD/barrel
AKDCM4 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M4,Sin Jet Ker Cr Dub 1st Cr M4,USD/barrel
AKDCM5 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M5,Sin Jet Ker Cr Dub 1st Cr M5,USD/barrel
AKDCM6 Index,Bloomberg Fair Value/Sing Jet Kerosene FOB Crg vs Dubai 1st Line Crck Future M6,Sin Jet Ker Cr Dub 1st Cr M6,USD/barrel
CL1 Comdty,#N/A Field Not Applicable,Generic 1st 'CL' Future,USD/bbl.
CL2 Comdty,#N/A Field Not Applicable,Generic 2nd 'CL' Future,USD/bbl.
CL3 Comdty,#N/A Field Not Applicable,Generic 3rd 'CL' Future,USD/bbl.
CL4 Comdty,#N/A Field Not Applicable,Generic 4th 'CL' Future,USD/bbl.
CL5 Comdty,#N/A Field Not Applicable,Generic 5th 'CL' Future,USD/bbl.
CL6 Comdty,#N/A Field Not Applicable,Generic 6th 'CL' Future,USD/bbl.
CO1 Comdty,#N/A Field Not Applicable,Generic 1st 'CO' Future,USD/bbl.
CO2 Comdty,#N/A Field Not Applicable,Generic 2nd 'CO' Future,USD/bbl.
CO3 Comdty,#N/A Field Not Applicable,Generic 3rd 'CO' Future,USD/bbl.
CO4 Comdty,#N/A Field Not Applicable,Generic 4th 'CO' Future,USD/bbl.
CO5 Comdty,#N/A Field Not Applicable,Generic 5th 'CO' Future,USD/bbl.
CO6 Comdty,#N/A Field Not Applicable,Generic 6th 'CO' Future,USD/bbl.
DJISM1 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M1,BFV Jet vs GO Spread M1,USD/barrel
DJISM2 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M2,BFV Jet vs GO Spread M2,USD/barrel
DJISM3 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M3,BFV Jet vs GO Spread M3,USD/barrel
DJISM4 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M4,BFV Jet vs GO Spread M4,USD/barrel
DJISM5 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M5,BFV Jet vs GO Spread M5,USD/barrel
DJISM6 Index,BFV/Asia Jet FOB Singapore Cargo vs ICE Gasoil Spread M6,BFV Jet vs GO Spread M6,USD/barrel
DOEBDIST Index,DOE Total US Distillate Fuel Exports,DOE Total US Dist Fuel Exports,1000 Barrels/Day
DOEBKJET Index,DOE Total US Kerosene-type Jet Fuel Exports,DOE Total US Jet Fuel Exports,1000 Barrels/Day
DOEIABP1 Index,DOE All Other Blending Components Import Data/PADD 1,All Other Blending Comp/PADD 1,1000 Barrels/Day
