,AKDCM1 Index,AKDCM2 Index,AKDCM3 Index,AKDCM4 Index,AKDCM5 Index,AKDCM6 Index,CL1 Comdty,CL2 Comdty,CL3 Comdty,CL4 Comdty,CL5 Comdty,CL6 Comdty,CO1 Comdty,CO2 Comdty,CO3 Comdty,CO4 Comdty,CO5 Comdty,CO6 Comdty,DJISM1 Index,DJISM2 Index,DJISM3 Index,DJISM4 Index,DJISM5 Index,DJISM6 Index,FEJSM1 Index,FEJSM2 Index,FEJSM3 Index,FEJSM4 Index,FEJSM5 Index,FEJSM6 Index,FGJSM1 Index,FGJSM2 Index,FGJSM3 Index,FGJSM4 Index,FGJSM5 Index,FGJSM6 Index,FJMNM1 Index,FJMNM2 Index,FJMNM3 Index,FJMNM4 Index,FJMNM5 Index,FJMNM6 Index,FJSBM1 Index,FJSBM2 Index,FJSBM3 Index,FJSBM4 Index,FJSBM5 Index,FJSBM6 Index,FLJSM1 Index,FLJSM2 Index,FLJSM3 Index,FLJSM4 Index,FLJSM5 Index,FLJSM6 Index,FNJSM1 Index,FNJSM2 Index,FNJSM3 Index,FNJSM4 Index,FNJSM5 Index,FNJSM6 Index,FSEJM1 Index,FSEJM2 Index,FSEJM3 Index,FSEJM4 Index,FSEJM5 Index,FSEJM6 Index,FSGJM1 Index,FSGJM2 Index,FSGJM3 Index,FSGJM4 Index,FSGJM5 Index,FSGJM6 Index,FSLJM1 Index,FSLJM2 Index,FSLJM3 Index,FSLJM4 Index,FSLJM5 Index,FSLJM6 Index,FSNJM1 Index,FSNJM2 Index,FSNJM3 Index,FSNJM4 Index,FSNJM5 Index,FSNJM6 Index,FSSKM1 Index,FSSKM2 Index,FSSKM3 Index,FSSKM4 Index,FSSKM5 Index,FSSKM6 Index,FSWJM1 Index,FSWJM2 Index,FSWJM3 Index,FSWJM4 Index,FSWJM5 Index,FSWJM6 Index,FWJSM1 Index,FWJSM2 Index,FWJSM3 Index,FWJSM4 Index,FWJSM5 Index,FWJSM6 Index,HO1 Comdty,HO2 Comdty,HO3 Comdty,HO4 Comdty,HO5 Comdty,HO6 Comdty,QS1 Comdty,QS2 Comdty,QS3 Comdty,QS4 Comdty,QS5 Comdty,QS6 Comdty,REJSM1 Index,REJSM2 Index,REJSM3 Index,REJSM4 Index,REJSM5 Index,REJSM6 Index,RSQSM1 Index,RSQSM2 Index,RSQSM3 Index,RSQSM4 Index,RSQSM5 Index,RSQSM6 Index
1/7/2011,,,,,,,89.53,90.65,91.58,92.37,92.95,93.41,94.34,94.24,94.34,94.53,94.73,94.86,,,,,,,51.4,52.05,54.04,55.57,55.67,55.52,1.35,3.35,4.36,5.14,5.2,5.52,,,,,,,,,,,,,5.17,6.91,9.15,9.16,9.2,10.1,1.35,3.35,4.36,5.14,5.2,5.52,834.77,839.34,844.26,848.86,853.02,856.66,254.54,256.16,257,258.23,259.65,261.41,258.36,259.72,261.78,262.25,263.65,265.99,254.54,256.16,257,258.23,259.65,261.41,106.42,106.66,107.03,107.51,107.82,108.21,856.27,859.45,862.97,868.34,873.92,877.56,72.9,72.15,72.75,75.05,76.58,76.42,251.98,252.68,252.37,252.21,252.69,254.05,776.45,782.6,787.15,790.25,793.1,796.3,,,,,,,,,,,,
1/14/2011,,,,,,,91.03,92.14,93.11,93.94,94.57,95.04,97.63,97.19,97.11,97.19,97.29,97.35,,,,,,,58,57.7,57.89,58.06,58.18,58.28,1.25,3.25,4.33,5.15,5.22,5.53,,,,,,,,,,,,,4.89,7.89,12,12.01,12.06,12.95,1.25,3.25,4.33,5.15,5.22,5.53,866.48,869.3,871.8,874.49,877.74,881.03,262.47,263.77,264.36,265.34,266.6,268.17,266.11,268.41,272.04,272.2,273.44,275.59,262.47,263.77,264.36,265.34,266.6,268.17,110.53,110.73,110.92,111.1,111.6,111.72,887.83,890.45,892.81,895.32,898.65,901.94,79.35,78.85,78.9,78.9,79.09,79.18,260.76,261.06,260.35,259.88,260.02,261.24,798.6,806.1,809.4,811.85,814.45,817.35,,,,,,,,,,,,
1/21/2011,,,,,,,90.05,91.09,92.33,93.37,94.12,94.64,97.51,97.51,97.65,97.79,97.86,97.89,,,,,,,61.49,60.79,60.92,60.98,60.86,60.61,1.25,3.25,4.32,5.15,5.23,5.55,,,,,,,,,,,,,3.07,6.07,10.71,10.71,10.73,11.61,1.25,3.25,4.32,5.15,5.23,5.55,877.97,880.32,882.39,884.43,887.05,889.67,265.68,266.68,266.9,267.59,268.56,269.97,267.5,269.49,273.28,273.14,274.07,276.02,265.68,266.68,266.9,267.59,268.56,269.97,111.37,111.48,111.7,111.92,112.36,112.52,897.28,898.68,900.67,902.95,906.66,909.28,80.8,79.15,79.2,79.5,80.46,80.22,264.4,264.72,263.66,262.75,262.58,263.44,813.9,818.25,820.4,822.4,824.6,827.5,,,,,,,,,,,,
1/28/2011,,,,,,,87.27,89.35,91.09,92.32,93.2,93.77,97.32,97.4,97.63,97.84,97.98,98.08,,,,,,,62.41,61.41,61.36,61.03,61.02,60.71,1.25,3.25,4.31,5.14,5.25,5.66,,,,,,,,,,,,,3.62,6.55,10.83,10.83,10.86,11.74,1.25,3.25,4.31,5.14,5.25,5.66,880.75,883.92,886.85,889.37,892.72,895.7,266.45,267.57,268.01,268.96,270.11,271.75,268.82,270.86,274.52,274.65,275.72,277.83,266.45,267.57,268.01,268.96,270.11,271.75,111.58,111.68,111.97,112.29,112.93,113.23,899.34,901.81,904.89,907.7,911.21,914.19,81,79.3,79.4,79.35,79.51,79.2,264.54,264.81,264.01,263.48,263.65,264.69,813.9,819.2,822.55,825.5,828.3,831.55,,,,,,,,,,,,
2/4/2011,,,,,,,90.68,93.31,95.28,96.46,97.32,97.93,101.34,101.62,101.91,102.16,102.31,102.4,,,,,,,65.31,63.44,62.36,61.91,61.56,61.23,2.77,3.73,4.39,4.62,4.95,5.04,,,,,,,,,,,,,5.5,9.23,9.92,9.95,10.07,10.31,2.77,3.73,4.39,4.62,4.95,5.04,921.61,923.06,925.18,928.34,931.61,934.54,277.86,278.68,279.75,281.05,282.66,284.42,280.59,284.18,285.28,286.38,287.79,289.7,277.86,278.68,279.75,281.05,282.66,284.42,116.34,116.51,116.8,117.21,117.61,118,941.11,942.12,943.81,946.73,949.96,952.88,84.8,82.5,81,80.3,79.9,79.58,275.37,275.12,275.02,275.46,276.52,277.8,848.75,854,857.4,860.45,863.75,867.15,,,,,,,,,,,,
2/11/2011,,,,,,,86.69,90.01,92.95,94.71,95.88,96.63,100.66,101.02,101.44,101.77,101.97,102.11,,,,,,,65.96,64.13,63.18,63.08,62.26,61.78,3.59,4.04,4.39,4.44,4.8,4.8,,,,,,,,,,,,,8.08,11.13,12.07,12.12,11.53,11.62,3.59,4.04,4.39,4.44,4.8,4.8,924.46,925.48,927.57,931.42,934.49,937.38,276.84,277.94,279.22,280.61,282.39,284.16,281.33,285.04,286.9,288.29,289.12,290.97,276.84,277.94,279.22,280.61,282.39,284.16,116.75,117.01,117.22,117.45,117.92,118.39,943.4,944.7,946.99,950.44,952.83,955.72,84.9,83.35,82.6,82.1,80.6,80.12,272.27,272.56,273.23,274.16,275.55,276.98,850.3,855.95,859.15,862.3,865.75,869.65,,,,,,,,,,,,
2/18/2011,,,,,,,85.34,88.54,91.51,93.26,94.49,95.27,102.72,103.02,103.22,103.33,103.41,103.46,,,,,,,67.66,65.91,64.56,64.56,63.73,63.18,6.45,5.95,5.56,5.5,5.96,5.96,,,,,,,,,,,,,11.41,11.89,12.83,12.88,11.67,11.76,8.93,8.43,8.04,7.98,8.45,8.44,933.53,934.81,936.52,940.42,943.63,946.83,281.47,281.79,282.4,283.68,285.59,287.4,286.43,287.73,289.67,291.07,291.3,293.2,283.95,284.27,284.88,286.16,288.07,289.88,118.15,118.14,118.39,118.64,119.05,119.47,950.52,952.25,954.66,958.06,961.97,965.17,84.65,83.35,82.7,82.2,82.07,81.52,273.99,274.71,275.57,276.6,277.96,279.4,868.1,871.7,874.65,877.75,881.65,885.6,,,,,,,,,,,,
2/25/2011,,,,,,,96.71,98.34,99.24,99.9,100.33,100.6,109.25,109.12,109.05,108.94,108.82,108.69,,,,,,,78.31,73.16,69.26,69.26,68.65,68.2,7.8,6.93,6.23,6.04,6.43,6.33,,,,,,,,,,,,,14.51,14.15,13.97,14.03,12.41,12.5,11.18,10.31,9.61,9.42,9.81,9.71,990.39,988.16,987.34,991.08,994.07,996.82,295.68,295.97,296.5,297.74,299.52,301.01,302.39,303.2,304.25,305.73,305.51,307.18,299.06,299.35,299.88,301.12,302.9,304.39,125.45,125.07,125.08,125.21,125.58,125.93,1008.18,1006,1006.68,1009.41,1012.41,1015.17,96.1,91,88.6,87.6,86.99,86.54,287.64,288.97,290.16,291.4,292.84,294.24,904.75,908.05,911.1,914.3,917.95,921.35,,,,,,,,,,,,
3/4/2011,,,,,,,101.03,102.44,103.12,103.62,103.9,104.11,114.87,114.77,114.64,114.46,114.28,114.04,,,,,,,75.6,71.76,71.01,69.31,68.26,68.1,8.01,7.01,6.24,6.54,6.54,5.23,,,,,,,,,,,,,13.78,13.24,13.21,11.92,11.65,11.72,1.65,0.66,-0.11,0.19,0.19,-1.12,1035.73,1034.56,1036.89,1038.41,1040.27,1042.24,312.55,312.63,313.26,314.95,316.52,316.78,318.32,318.86,320.22,320.34,321.63,323.27,306.19,306.28,306.9,308.6,310.16,310.43,130.74,130.75,130.91,131.23,131.56,131.85,1055.64,1055.2,1056.68,1057.49,1059.79,1061.77,95.5,92.4,90.8,88.4,87.79,87.63,302.91,303.99,305.11,306.51,307.96,309.53,952.7,955.9,958.85,961.7,964.7,967.85,,,,,,,,,,,,
3/11/2011,,,,,,,103.74,104.91,105.51,105.95,106.21,106.35,114.66,114.73,114.67,114.53,114.35,114.12,,,,,,,65.31,63.96,64.11,62.99,62.53,62.53,7.75,6.5,6,6.53,6.53,4.94,,,,,,,,,,,,,13.23,12.52,12.56,10.92,10.99,11.04,-1.51,-2.76,-3.26,-2.74,-2.74,-4.32,1026.91,1027.62,1030.31,1031.95,1034.06,1035.73,312.68,312.4,313.12,315.03,316.55,316.45,318.16,318.42,319.68,319.42,321.01,322.54,303.42,303.14,303.86,305.77,307.29,307.19,130.41,130.56,130.73,131.01,131.37,131.59,1053.2,1053.26,1056,1058.26,1059.97,1061.64,91.6,89.6,89.8,89.3,88.44,88.44,304.43,305.42,306.45,307.72,309.1,310.62,962.8,962.9,965.05,967.4,970,972.9,,,,,,,,,,,,
