,DOESDIST Index,DOESDIS1 Index,DOESDIS2 Index,DOESDIS3 Index,DOESDIS4 Index,DOESDIS5 Index,DOESJETK Index,DOESJET1 Index,DOESJET2 Index,DOESJET3 Index,DOESJET4 Index,DOESJET5 Index,DOEPPERC Index,DOEPPCP1 Index,DOEPPCP2 Index,DOEPPCP3 Index,DOEPPCP4 Index,DOEPPCP5 Index,DOEPCRIN Index,DOEPCRP1 Index,DOEPCRP2 Index,DOEPCRP3 Index,DOEPCRP4 Index,DOEPCRP5 Index,DOEPGRIN Index,DOEPGRP1 Index,DOEPGRP2 Index,DOEPGRP3 Index,DOEPGRP4 Index,DOEPGRP5 Index,DOEPOPCP Index,DOEPOPP1 Index,DOEPOPP2 Index,DOEPOPP3 Index,DOEPOPP4 Index,DOEPOPP5 Index,DOEBKJET Index,DOEBDIST Index,DOEINICR Index,DOEINIPR Index,DOESTCRD Index,DOESTMGS Index,DOESFETH Index,DOESRESD Index,DOESPPEX Index,DOESOTHE Index,DOESESPR Index,DOESISPR Index,DOEICISP Index,DOEICESP Index,DOEICRP1 Index,DOEICRP2 Index,DOEICRP3 Index,DOEICRP4 Index,DOEICRP5 Index,DOEISPR Index,DOEISPRO Index,DOEIMGAS Index,DOEIGAS1 Index,DOEIGAS2 Index,DOEIGAS3 Index,DOEIGAS4 Index,DOEIGAS5 Index,DOEIFMOG Index,DOEIFMP1 Index,DOEIFMP2 Index,DOEIFMP3 Index,DOEIFMP4 Index,DOEIFMP5 Index,DOEIREFM Index,DOEIREF1 Index,DOEIREF2 Index,DOEIREF3 Index,DOEIREF4 Index,DOEIREF5 Index,DOEIREWA Index,DOEIREA1 Index,DOEIREA2 Index,DOEIREA3 Index,DOEIREA4 Index,DOEIREA5 Index,DOEIOTRF Index,DOEIRFO1 Index,DOEIRFO2 Index,DOEIRFO3 Index,DOEIRFO4 Index,DOEIRFO5 Index,DOEIOTHF Index,DOEICON1 Index,DOEICON2 Index,DOEICON3 Index,DOEICON4 Index,DOEICON5 Index,DOEICOWA Index,DOEICWA1 Index,DOEICWA2 Index,DOEICWA3 Index,DOEICWA4 Index,DOEICWA5 Index,DOEIED55 Index,DOEIE5P1 Index,DOEIE5P2 Index,DOEIE5P3 Index,DOEIE5P4 Index,DOEIE5P5 Index,DOEIGE55 Index,DOEIGEP1 Index,DOEIGEP2 Index,DOEIGEP3 Index,DOEIGEP4 Index,DOEIGEP5 Index,DOEICOOT Index,DOEIOCP1 Index,DOEIOCP2 Index,DOEIOCP3 Index,DOEIOCP4 Index,DOEIOCP5 Index,DOEIBLND Index,DOEIBCP1 Index,DOEIBCP2 Index,DOEIBCP3 Index,DOEIBCP4 Index,DOEIBCP5 Index,DOEIRBOB Index,DOEIRBP1 Index,DOEIRBP2 Index,DOEIRBP3 Index,DOEIRBP4 Index,DOEIRBP5 Index,DOEICBOB Index,DOEICBP1 Index,DOEICBP2 Index,DOEICBP3 Index,DOEICBP4 Index,DOEICBP5 Index,DOEIGTAB Index,DOEIGTP1 Index,DOEIGTP2 Index,DOEIGTP3 Index,DOEIGTP4 Index,DOEIGTP5 Index,DOEIOTBL Index,DOEIABP1 Index,DOEIABP2 Index,DOEIABP3 Index,DOEIABP4 Index,DOEIABP5 Index,DOEIFETH Index,DOEIFEP1 Index,DOEIFEP2 Index,DOEIFEP3 Index,DOEIFEP4 Index,DOEIFEP5 Index,DOEIJETK Index,DOEIJET1 Index,DOEIJET2 Index,DOEIJET3 Index,DOEIJET4 Index,DOEIJET5 Index,DOEIDIST Index,DOEIDIS1 Index,DOEIDIS2 Index,DOEIDIS3 Index,DOEIDIS4 Index,DOEIDIS5 Index,DOEIDL15 Index,DOEIL151 Index,DOEIL152 Index,DOEIL153 Index,DOEIL154 Index,DOEIL155 Index,DOEIDG15 Index,DOEIG151 Index,DOEIG152 Index,DOEIG153 Index,DOEIG154 Index,DOEIG155 Index,DOEIDG52 Index,DOEIG521 Index,DOEIG522 Index,DOEIG523 Index,DOEIG524 Index,DOEIG525 Index,DOEIDIG2 Index,DOEIDG21 Index,DOEIDG22 Index,DOEIDG23 Index,DOEIDG24 Index,DOEIDG25 Index,DOEIRESD Index,DOEIRES1 Index,DOEIRES2 Index,DOEIRES3 Index,DOEIRES4 Index,DOEIRES5 Index,DOEIPPPR Index,DOEIPRP1 Index,DOEIPRP2 Index,DOEIPRP3 Index,DOEIPR45 Index,DOEIOTOI Index,DOEIOOP1 Index,DOEIOOP2 Index,DOEIOOP3 Index,DOEIOOP4 Index,DOEIOOP5 Index,DOEIKERO Index,DOEILRGS Index,DOEITRPR Index,DOEITRP1 Index,DOEITRP2 Index,DOEITRP3 Index,DOEITRP4 Index,DOEITRP5 Index,DOEIGISP Index,DOEIGIP1 Index,DOEIGIP2 Index,DOEIGIP3 Index,DOEIGIP4 Index,DOEIGIP5 Index
1/7/2011,164759,63512,31161,49944,4043,16099,44094,9126,8094,15311,678,10887,86.4,65.7,88.8,91.9,83.2,78.8,14728,970,3274,7660,517,2307,15208,918,3312,7925,518,2535,17594,1397,3728,8626,623,3219,59,882,8862,450,1038071,223227,17096,39418,,192352,1043022,1769567,8895,8895,1307,1283,4810,341,1156,0,0,871,668,2,194,0,7,84,38,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,38,2,45,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,83,38,1,45,0,0,787,630,1,149,0,7,240,240,0,0,0,0,13,6,0,0,0,7,94,94,0,0,0,0,440,290,1,149,0,0,0,0,0,0,0,0,79,26,0,0,0,53,368,301,13,51,3,0,122,120,1,0,1,0,113,100,12,0,1,0,133,82,0,51,0,0,0,0,0,0,0,0,428,265,5,64,0,94,115,45,55,0,15,809,217,30,526,2,34,0,40,2669,1522,105,835,15,192,11564,2829,1387,5645,356,1348
1/14/2011,165797,61632,31951,52767,3826,15621,43087,9174,8083,14708,658,10463,83,66.4,90.2,86,82.1,73.8,14339,951,3310,7357,508,2211,14595,927,3362,7420,512,2374,17594,1397,3728,8626,623,3219,70,835,8966,518,1040687,227670,17801,41837,,189910,1045386,1771930,8999,8999,997,1469,5386,228,920,0,0,722,655,3,39,0,25,65,25,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,25,1,39,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,64,25,0,39,0,0,657,630,2,0,0,25,203,203,0,0,0,0,94,86,0,0,0,7,0,0,0,0,0,0,360,341,2,0,0,18,0,0,0,0,0,0,63,31,0,0,0,32,241,237,1,0,3,0,111,106,1,0,3,0,0,0,0,0,0,0,89,89,0,0,0,0,41,41,0,0,0,0,559,318,3,165,0,73,110,31,66,0,13,1031,109,42,812,4,63,0,30,2726,1381,116,1016,15,198,11725,2378,1584,6401,243,1118
1/21/2011,165657,60388,33055,52708,3522,15985,42748,9080,8262,14490,729,10188,81.8,73.7,90.6,84.5,80.3,68.5,14127,1029,3343,7244,495,2016,14400,1030,3379,7284,500,2206,17594,1397,3728,8626,623,3219,70,835,9352,346,1045523,230074,19037,41654,,187839,1047782,1774326,9385,9385,1082,1300,5985,311,706,0,0,644,538,3,92,0,11,56,16,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,1,39,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,56,16,0,39,0,0,588,522,2,53,0,11,154,154,0,0,0,0,97,90,0,0,0,7,50,50,0,0,0,0,287,229,2,53,0,3,0,0,0,0,0,0,16,12,0,0,0,4,254,241,11,0,1,0,139,126,11,0,1,0,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,0,0,0,366,239,3,72,0,52,254,185,58,0,12,1020,122,34,861,3,0,0,26,2554,1337,109,1024,12,72,11939,2419,1409,7009,323,779
1/28/2011,164078,58608,33547,53609,3556,14758,43769,8687,8349,15045,719,10969,84.5,78.6,91.2,87.2,80.2,72.9,14302,1126,3355,7219,499,2103,14861,1097,3398,7520,499,2346,17594,1397,3728,8626,623,3219,70,835,8981,694,1048117,236228,18890,40141,,190713,1053321,1779865,9014,9014,887,1230,5270,359,1267,0,0,1173,1015,2,142,0,14,127,30,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,30,2,95,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,126,30,1,95,0,0,1047,985,0,47,0,14,351,351,0,0,0,0,126,118,0,0,0,7,127,127,0,0,0,0,443,389,0,47,0,7,0,0,0,0,0,0,127,74,0,0,0,53,318,315,2,0,1,0,205,202,2,0,1,0,48,48,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,284,206,1,54,0,23,153,80,58,0,14,848,49,30,703,3,62,0,41,2902,1739,93,900,12,159,11916,2626,1324,6170,371,1426
2/4/2011,164366,57752,33756,55919,3438,13501,42938,9744,7979,13968,788,10459,84.7,79.6,93.4,86.1,86.9,72.7,14344,1129,3446,7077,539,2153,14906,1112,3482,7431,541,2341,17594,1397,3728,8626,623,3219,70,835,8876,740,1049948,240891,19576,39147,,191303,1056430,1782974,8909,8909,1067,1233,5240,274,1096,0,0,1037,843,5,173,0,16,148,75,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,75,3,70,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,146,75,1,70,0,0,889,768,2,103,0,16,201,194,0,0,0,7,117,115,0,0,0,1,50,50,0,0,0,0,521,409,2,103,0,7,0,0,0,0,0,0,61,58,0,0,0,3,296,259,33,0,4,0,161,125,33,0,4,0,0,0,0,0,0,0,60,60,0,0,0,0,75,75,0,0,0,0,457,287,3,168,0,0,93,34,47,0,11,1003,202,31,687,2,80,32,38,2948,1684,120,1027,13,103,11857,2719,1353,6267,287,1199
2/11/2011,161270,57756,33655,53371,3368,13120,41435,9865,7906,12308,816,10540,81.2,75.1,93,79.4,86.8,74.2,13863,1070,3427,6642,539,2186,14290,1049,3468,6845,541,2388,17594,1397,3728,8626,623,3219,87,686,8233,395,1050807,241096,19576,39451,,189980,1048045,1774588,8266,8266,890,1329,4845,308,893,0,0,935,883,5,47,0,0,108,62,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,62,3,44,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,106,62,1,44,0,0,827,822,2,3,0,0,257,257,0,0,0,0,92,92,0,0,0,0,171,171,0,0,0,0,306,301,2,3,0,0,0,0,0,0,0,0,61,16,0,0,0,45,211,204,4,0,3,0,143,136,4,0,2,0,1,0,0,0,1,0,68,68,0,0,0,0,0,0,0,0,0,0,525,415,3,107,0,0,161,85,65,0,10,637,151,44,365,2,75,0,38,2530,1754,121,519,10,124,10796,2645,1450,5364,319,1018
2/18/2011,159937,58095,33539,51568,3377,13358,40475,9167,7472,12675,738,10422,79.4,66.3,88.4,78.6,86.4,75.2,13535,947,3258,6561,537,2233,13960,926,3297,6778,538,2422,17594,1397,3728,8626,623,3219,87,686,8073,100,1051629,238298,19349,37403,,185930,1035959,1762502,8106,8106,865,1457,4270,273,1240,0,0,808,632,8,153,0,14,110,23,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,23,3,84,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,108,23,1,84,0,0,698,609,5,69,0,14,161,161,0,0,0,0,132,118,0,0,0,14,46,46,0,0,0,0,359,285,5,69,0,0,0,0,0,0,0,0,24,21,0,0,0,3,171,144,5,0,3,19,100,74,5,0,2,19,1,0,0,0,1,0,71,71,0,0,0,0,0,0,0,0,0,0,180,116,5,20,0,39,101,31,55,0,15,951,125,36,629,0,161,0,27,2235,1068,108,803,11,244,10341,1934,1565,5073,284,1484
2/25/2011,159186,58000,33067,51481,3352,13285,40820,10489,7228,11609,718,10776,80.9,65.3,88.6,81,89.6,77,13798,930,3275,6770,554,2269,14241,912,3302,6989,558,2480,17594,1397,3728,8626,623,3219,87,686,7977,81,1051265,234708,19127,37075,,185323,1029430,1755973,8010,8010,858,1413,4390,278,1071,0,0,808,556,4,213,0,35,108,67,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,67,3,39,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,107,67,1,39,0,0,700,489,1,174,0,35,154,154,0,0,0,0,59,52,0,0,0,7,32,32,0,0,0,0,456,252,1,174,0,28,0,0,0,0,0,0,51,47,0,0,0,4,170,164,6,0,1,0,128,121,6,0,1,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,293,198,3,67,0,25,170,97,60,0,13,724,75,33,555,2,59,0,96,2216,1137,105,836,10,129,10226,1995,1519,5226,287,1200
3/4/2011,155209,56855,32572,49987,3175,12620,41248,10137,7330,12196,700,10886,82,75,86.5,80.5,88.7,82.6,13943,1068,3176,6712,551,2437,14429,1048,3225,6946,553,2658,17594,1397,3728,8626,623,3219,87,686,8267,287,1053641,229214,19873,36993,,186296,1023018,1749560,8300,8300,814,1421,4705,305,1055,0,0,761,651,2,59,0,50,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,0,0,0,0,644,534,2,59,0,50,156,110,0,0,0,46,112,109,0,0,0,4,0,0,0,0,0,0,376,315,2,59,0,0,0,0,0,0,0,0,16,16,0,0,0,0,252,234,17,0,1,0,141,124,17,0,0,0,0,0,0,0,0,0,51,51,0,0,0,0,60,60,0,0,0,0,414,326,4,48,0,36,132,43,76,0,12,848,214,30,601,1,1,0,48,2422,1484,129,708,9,92,10722,2298,1550,5412,314,1147
3/11/2011,152608,55887,31377,49527,3311,12506,40539,8401,7751,12471,696,11220,83.4,76.7,85.5,83.9,87.3,81.7,14182,1075,3153,6966,543,2444,14671,1071,3189,7237,544,2630,17594,1397,3728,8626,623,3219,88,738,8647,-264,1055386,225040,19905,35775,,187823,1017896,1744438,8681,8681,871,1389,5115,270,1037,0,0,648,484,23,142,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,611,446,23,142,0,0,117,117,0,0,0,0,66,66,0,0,0,0,22,22,0,0,0,0,406,241,23,142,0,0,0,0,0,0,0,0,14,12,0,0,0,3,161,159,0,0,1,0,90,89,0,0,1,0,24,24,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,477,270,2,205,0,0,146,61,57,12,16,583,41,32,449,2,59,0,31,2029,1026,115,807,12,70,10710,1897,1504,5922,282,1106
