period,PADD2_stocks,PADD2_runs,PADD2_prod,PADD2_imp,PADD2_JET_YIELD
2015-01-02,6412.0,3615.0,238.0,0.0,0.06583679114799447
2015-01-09,6309.0,3521.0,216.0,0.0,0.061346208463504685
2015-01-16,6260.0,3182.0,195.0,0.0,0.06128221244500314
2015-01-23,6551.0,3356.0,212.0,0.0,0.0631704410011919
2015-01-30,6494.0,3623.0,237.0,0.0,0.06541540160088324
2015-02-06,6589.0,3564.0,225.0,0.0,0.06313131313131314
2015-02-13,6781.0,3530.0,235.0,0.0,0.06657223796033994
2015-02-20,6699.0,3558.0,223.0,0.0,0.06267566048341765
2015-02-27,6806.0,3510.0,232.0,0.0,0.0660968660968661
2015-03-06,6491.0,3559.0,226.0,0.0,0.06350098342230964
2015-03-13,6409.0,3565.0,230.0,0.0,0.06451612903225806
2015-03-20,6571.0,3374.0,246.0,0.0,0.07291049199762893
2015-03-27,6504.0,3476.0,184.0,0.0,0.05293440736478711
2015-04-03,5983.0,3627.0,245.0,0.0,0.06754893851668045
2015-04-10,6340.0,3717.0,273.0,0.0,0.07344632768361582
2015-04-17,6273.0,3674.0,286.0,0.0,0.07784431137724551
2015-04-24,6747.0,3649.0,265.0,0.0,0.07262263633872294
2015-05-01,6945.0,3716.0,256.0,0.0,0.0688912809472551
2015-05-08,6981.0,3743.0,311.0,0.0,0.0830884317392466
2015-05-15,6815.0,3711.0,254.0,0.0,0.0684451630288332
2015-05-22,6953.0,3696.0,272.0,0.0,0.0735930735930736
2015-05-29,6970.0,3658.0,293.0,0.0,0.080098414434117
2015-06-05,6754.0,3638.0,243.0,0.0,0.06679494227597581
2015-06-12,6821.0,3577.0,244.0,0.0,0.06821358680458485
2015-06-19,6837.0,3646.0,255.0,0.0,0.06993965990126165
2015-06-26,6610.0,3723.0,274.0,0.0,0.0735965619124362
2015-07-03,6478.0,3730.0,250.0,0.0,0.06702412868632708
2015-07-10,6316.0,3614.0,250.0,0.0,0.06917542888765911
2015-07-17,6007.0,3745.0,249.0,0.0,0.06648865153538051
2015-07-24,5956.0,3790.0,264.0,0.0,0.06965699208443271
2015-07-31,5697.0,3852.0,252.0,0.0,0.06542056074766354
2015-08-07,6048.0,3804.0,256.0,0.0,0.06729758149316509
2015-08-14,5828.0,3542.0,250.0,0.0,0.07058159232072275
2015-08-21,6535.0,3569.0,250.0,0.0,0.07004763239002522
2015-08-28,6932.0,3551.0,238.0,0.0,0.06702337369754999
2015-09-04,6502.0,3791.0,255.0,0.0,0.06726457399103139
2015-09-11,7059.0,3776.0,258.0,0.0,0.06832627118644068
2015-09-18,6970.0,3540.0,209.0,0.0,0.05903954802259887
2015-09-25,6205.0,3343.0,200.0,0.0,0.05982650314089141
2015-10-02,6584.0,3044.0,191.0,0.0,0.06274638633377136
2015-10-09,5657.0,2827.0,166.0,0.0,0.05871949062610541
2015-10-16,5795.0,2823.0,212.0,0.0,0.0750974140984768
2015-10-23,6126.0,3058.0,202.0,0.0,0.06605624591236102
2015-10-30,5929.0,3054.0,206.0,0.0,0.06745252128356254
2015-11-06,5541.0,3370.0,213.0,0.0,0.06320474777448071
2015-11-13,5450.0,3382.0,257.0,0.0,0.07599053814311059
2015-11-20,5477.0,3541.0,255.0,0.0,0.07201355549279864
2015-11-27,5532.0,3665.0,263.0,0.0,0.07175989085948158
2015-12-04,6404.0,3738.0,250.0,0.0,0.06688068485821295
2015-12-11,5912.0,3714.0,241.0,0.0,0.06488960689283792
2015-12-18,6269.0,3571.0,261.0,0.0,0.07308877065247829
2015-12-25,6883.0,3739.0,239.0,0.0,0.06392083444771329
2016-01-01,6334.0,3594.0,233.0,0.0,0.06483027267668336
2016-01-08,6523.0,3711.0,230.0,0.0,0.06197790353004581
2016-01-15,7131.0,3807.0,253.0,0.0,0.06645652744943525
2016-01-22,6804.0,3771.0,226.0,0.0,0.059931052771148234
2016-01-29,7424.0,3776.0,219.0,0.0,0.0579978813559322
2016-02-05,7071.0,3709.0,236.0,0.0,0.0636290105149636
2016-02-12,7395.0,3665.0,251.0,0.0,0.0684856753069577
2016-02-19,7869.0,3601.0,248.0,0.0,0.06886975840044432
2016-02-26,7370.0,3557.0,253.0,0.0,0.0711273545122294
2016-03-04,7259.0,3659.0,225.0,0.0,0.06149221098660836
2016-03-11,7493.0,3500.0,237.0,0.0,0.06771428571428571
2016-03-18,7678.0,3329.0,226.0,0.0,0.0678882547311505
2016-03-25,7772.0,3329.0,241.0,0.0,0.07239411234604987
2016-04-01,7472.0,3402.0,230.0,0.0,0.06760728982951206
2016-04-08,7028.0,3196.0,218.0,0.0,0.06821026282853566
2016-04-15,7195.0,3247.0,218.0,0.0,0.06713889744379427
2016-04-22,7073.0,3272.0,245.0,0.0,0.07487775061124695
2016-04-29,6349.0,3334.0,220.0,0.0,0.06598680263947211
2016-05-06,6485.0,3560.0,233.0,0.0,0.06544943820224719
2016-05-13,6195.0,3490.0,240.0,0.0,0.06876790830945559
2016-05-20,6256.0,3528.0,255.0,0.0,0.07227891156462585
2016-05-27,6280.0,3586.0,257.0,0.0,0.07166759620747351
2016-06-03,6648.0,3657.0,269.0,0.0,0.0735575608422204
2016-06-10,7075.0,3656.0,254.0,0.0,0.06947483588621445
2016-06-17,6610.0,3673.0,237.0,0.0,0.06452491151647155
2016-06-24,6584.0,3754.0,246.0,0.0,0.06553010122535961
2016-07-01,6850.0,3742.0,243.0,0.0,0.06493853554249064
2016-07-08,7315.0,3651.0,243.0,0.0,0.06655710764174198
2016-07-15,6362.0,3765.0,201.0,0.0,0.05338645418326693
2016-07-22,6128.0,3719.0,211.0,0.0,0.05673568163484808
2016-07-29,6156.0,3835.0,258.0,0.0,0.06727509778357237
2016-08-05,6144.0,3666.0,282.0,0.0,0.07692307692307693
2016-08-12,6648.0,3734.0,281.0,0.0,0.07525441885377611
2016-08-19,6866.0,3752.0,282.0,0.0,0.07515991471215352
2016-08-26,6724.0,3806.0,279.0,0.0,0.07330530740935365
2016-09-02,6558.0,3872.0,259.0,0.0,0.0668904958677686
2016-09-09,7220.0,3819.0,240.0,0.0,0.06284367635506677
2016-09-16,7060.0,3661.0,246.0,0.0,0.0671947555312756
2016-09-23,7271.0,3586.0,249.0,0.0,0.0694366982710541
2016-09-30,7245.0,3463.0,249.0,0.0,0.07190297429974012
2016-10-07,6800.0,3395.0,255.0,0.0,0.07511045655375552
2016-10-14,7229.0,3534.0,249.0,0.0,0.07045840407470289
2016-10-21,7169.0,3626.0,248.0,0.0,0.06839492553778267
2016-10-28,7015.0,3550.0,259.0,0.0,0.07295774647887324
2016-11-04,6852.0,3626.0,266.0,0.0,0.07335907335907337
2016-11-11,7138.0,3637.0,233.0,0.0,0.06406378883695353
2016-11-18,6709.0,3616.0,255.0,0.0,0.07051991150442478
2016-11-25,6275.0,3625.0,247.0,0.0,0.06813793103448276
2016-12-02,6822.0,3755.0,264.0,0.0,0.07030625832223701
2016-12-09,6894.0,3726.0,261.0,0.0,0.07004830917874397
2016-12-16,6610.0,3798.0,242.0,0.0,0.06371774618220116
2016-12-23,6627.0,3704.0,234.0,0.0,0.06317494600431965
2016-12-30,6771.0,3721.0,251.0,0.0,0.06745498521902714
2017-01-06,6843.0,3709.0,269.0,0.0,0.07252628740900512
2017-01-13,6658.0,3745.0,238.0,0.0,0.06355140186915888
