week_ending,LA_JET_1,LA_JET_2,LA_JET_3,M1_M2,M1_M3,M2_M3,GC_JET_1,GC_JET_2,GC_JET_3,M1_M2,M1_M3,M2_M3,NY_JET_1,NY_JET_2,NY_JET_3,M1_M2,M1_M3,M2_M3,LA_SPRD_1,LA_SPRD_2,LA_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,GC_SPRD_1,GC_SPRD_2,GC_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,NY_SPRD_1,NY_SPRD_2,NY_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,CL_1,CL_2,CL_3,CL_M1_M2,CL_M1_M3,CL_M2_M3,HO_1,HO_2,HO_3,HO_M1_M2,HO_M1_M3,HO_M2_M3,LA_NY_1,LA_GC_1,NY_GC_1,LA_NY_2,LA_GC_2,NY_GC_2,LA_NY_3,LA_GC_3,NY_GC_3
2011-01-07,258.36,259.72,261.78,-1.3600000000000136,-3.419999999999959,-2.0599999999999454,254.54,256.16,257.0,-1.620000000000033,-2.460000000000008,-0.839999999999975,254.54,256.16,257.0,-1.620000000000033,-2.460000000000008,-0.839999999999975,5.17,6.91,9.15,-1.7400000000000002,-3.9800000000000004,-2.24,1.35,3.35,4.36,-2.0,-3.0100000000000002,-1.0100000000000002,1.35,3.35,4.36,-2.0,-3.0100000000000002,-1.0100000000000002,89.53,90.65,91.58,-1.1200000000000045,-2.049999999999997,-0.9299999999999926,251.98,252.68,252.37,-0.700000000000017,-0.3900000000000148,0.3100000000000023,3.8200000000000216,3.8200000000000216,0.0,3.5600000000000023,3.5600000000000023,0.0,4.779999999999973,4.779999999999973,0.0
2011-01-14,266.11,268.41,272.04,-2.3000000000000114,-5.930000000000007,-3.6299999999999955,262.47,263.77,264.36,-1.2999999999999545,-1.8899999999999864,-0.5900000000000318,262.47,263.77,264.36,-1.2999999999999545,-1.8899999999999864,-0.5900000000000318,4.89,7.89,12.0,-3.0,-7.11,-4.11,1.25,3.25,4.33,-2.0,-3.08,-1.08,1.25,3.25,4.33,-2.0,-3.08,-1.08,91.03,92.14,93.11,-1.1099999999999994,-2.0799999999999983,-0.9699999999999989,260.76,261.06,260.35,-0.30000000000001137,0.40999999999996817,0.7099999999999795,3.6399999999999864,3.6399999999999864,0.0,4.640000000000043,4.640000000000043,0.0,7.680000000000007,7.680000000000007,0.0
2011-01-21,267.5,269.49,273.28,-1.990000000000009,-5.779999999999973,-3.7899999999999636,265.68,266.68,266.9,-1.0,-1.2199999999999704,-0.21999999999997044,265.68,266.68,266.9,-1.0,-1.2199999999999704,-0.21999999999997044,3.07,6.07,10.71,-3.0000000000000004,-7.640000000000001,-4.640000000000001,1.25,3.25,4.32,-2.0,-3.0700000000000003,-1.0700000000000003,1.25,3.25,4.32,-2.0,-3.0700000000000003,-1.0700000000000003,90.05,91.09,92.33,-1.0400000000000063,-2.280000000000001,-1.2399999999999949,264.4,264.72,263.66,-0.32000000000005,0.7399999999999523,1.0600000000000023,1.8199999999999932,1.8199999999999932,0.0,2.8100000000000023,2.8100000000000023,0.0,6.3799999999999955,6.3799999999999955,0.0
2011-01-28,268.82,270.86,274.52,-2.0400000000000205,-5.699999999999989,-3.659999999999968,266.45,267.57,268.01,-1.1200000000000045,-1.5600000000000023,-0.4399999999999977,266.45,267.57,268.01,-1.1200000000000045,-1.5600000000000023,-0.4399999999999977,3.62,6.55,10.83,-2.9299999999999997,-7.21,-4.28,1.25,3.25,4.31,-2.0,-3.0599999999999996,-1.0599999999999996,1.25,3.25,4.31,-2.0,-3.0599999999999996,-1.0599999999999996,87.27,89.35,91.09,-2.0799999999999983,-3.8200000000000074,-1.740000000000009,264.54,264.81,264.01,-0.2699999999999818,0.5300000000000296,0.8000000000000114,2.3700000000000045,2.3700000000000045,0.0,3.2900000000000205,3.2900000000000205,0.0,6.509999999999991,6.509999999999991,0.0
2011-02-04,280.59,284.18,285.28,-3.590000000000032,-4.689999999999998,-1.099999999999966,277.86,278.68,279.75,-0.8199999999999932,-1.8899999999999864,-1.0699999999999932,277.86,278.68,279.75,-0.8199999999999932,-1.8899999999999864,-1.0699999999999932,5.5,9.23,9.92,-3.7300000000000004,-4.42,-0.6899999999999995,2.77,3.73,4.39,-0.96,-1.6199999999999997,-0.6599999999999997,2.77,3.73,4.39,-0.96,-1.6199999999999997,-0.6599999999999997,90.68,93.31,95.28,-2.6299999999999955,-4.599999999999994,-1.9699999999999989,275.37,275.12,275.02,0.25,0.35000000000002274,0.10000000000002274,2.7299999999999613,2.7299999999999613,0.0,5.5,5.5,0.0,5.529999999999973,5.529999999999973,0.0
2011-02-11,281.33,285.04,286.9,-3.7100000000000364,-5.569999999999993,-1.8599999999999568,276.84,277.94,279.22,-1.1000000000000227,-2.3800000000000523,-1.2800000000000296,276.84,277.94,279.22,-1.1000000000000227,-2.3800000000000523,-1.2800000000000296,8.08,11.13,12.07,-3.0500000000000007,-3.99,-0.9399999999999995,3.59,4.04,4.39,-0.4500000000000002,-0.7999999999999998,-0.34999999999999964,3.59,4.04,4.39,-0.4500000000000002,-0.7999999999999998,-0.34999999999999964,86.69,90.01,92.95,-3.3200000000000074,-6.260000000000005,-2.9399999999999977,272.27,272.56,273.23,-0.29000000000002046,-0.9600000000000364,-0.6700000000000159,4.490000000000009,4.490000000000009,0.0,7.100000000000023,7.100000000000023,0.0,7.67999999999995,7.67999999999995,0.0
2011-02-18,286.43,287.73,289.67,-1.3000000000000114,-3.240000000000009,-1.9399999999999977,281.47,281.79,282.4,-0.3199999999999932,-0.92999999999995,-0.6099999999999568,283.95,284.27,284.88,-0.3199999999999932,-0.9300000000000068,-0.6100000000000136,11.41,11.89,12.83,-0.4800000000000004,-1.42,-0.9399999999999995,6.45,5.95,5.56,0.5,0.8900000000000006,0.39000000000000057,8.93,8.43,8.04,0.5,0.8900000000000006,0.39000000000000057,85.34,88.54,91.51,-3.200000000000003,-6.170000000000002,-2.969999999999999,273.99,274.71,275.57,-0.7199999999999704,-1.579999999999984,-0.8600000000000136,2.480000000000018,4.9599999999999795,2.4799999999999613,3.4600000000000364,5.939999999999998,2.4799999999999613,4.7900000000000205,7.270000000000039,2.480000000000018
2011-02-25,302.39,303.2,304.25,-0.8100000000000023,-1.8600000000000136,-1.0500000000000114,295.68,295.97,296.5,-0.29000000000002046,-0.8199999999999932,-0.5299999999999727,299.06,299.35,299.88,-0.29000000000002046,-0.8199999999999932,-0.5299999999999727,14.51,14.15,13.97,0.35999999999999943,0.5399999999999991,0.17999999999999972,7.8,6.93,6.23,0.8700000000000001,1.5699999999999994,0.6999999999999993,11.18,10.31,9.61,0.8699999999999992,1.5700000000000003,0.7000000000000011,96.71,98.34,99.24,-1.6300000000000097,-2.530000000000001,-0.8999999999999915,287.64,288.97,290.16,-1.330000000000041,-2.5200000000000387,-1.1899999999999977,3.329999999999984,6.7099999999999795,3.3799999999999955,3.849999999999966,7.229999999999961,3.3799999999999955,4.3700000000000045,7.75,3.3799999999999955
2011-03-04,318.32,318.86,320.22,-0.5400000000000205,-1.900000000000034,-1.3600000000000136,312.55,312.63,313.26,-0.07999999999998408,-0.7099999999999795,-0.6299999999999955,306.19,306.28,306.9,-0.08999999999997499,-0.7099999999999795,-0.6200000000000045,13.78,13.24,13.21,0.5399999999999991,0.5699999999999985,0.02999999999999936,8.01,7.01,6.24,1.0,1.7699999999999996,0.7699999999999996,1.65,0.66,-0.11,0.9899999999999999,1.76,0.77,101.03,102.44,103.12,-1.4099999999999966,-2.0900000000000034,-0.6800000000000068,302.91,303.99,305.11,-1.079999999999984,-2.1999999999999886,-1.1200000000000045,12.129999999999995,5.769999999999982,-6.360000000000014,12.580000000000041,6.230000000000018,-6.350000000000023,13.32000000000005,6.960000000000036,-6.360000000000014
2011-03-11,318.16,318.42,319.68,-0.2599999999999909,-1.5199999999999818,-1.259999999999991,312.68,312.4,313.12,0.28000000000002956,-0.4399999999999977,-0.7200000000000273,303.42,303.14,303.86,0.28000000000002956,-0.4399999999999977,-0.7200000000000273,13.23,12.52,12.56,0.7100000000000009,0.6699999999999999,-0.040000000000000924,7.75,6.5,6.0,1.25,1.75,0.5,-1.51,-2.76,-3.26,1.2499999999999998,1.7499999999999998,0.5,103.74,104.91,105.51,-1.1700000000000017,-1.7700000000000102,-0.6000000000000085,304.43,305.42,306.45,-0.9900000000000091,-2.019999999999982,-1.0299999999999727,14.740000000000009,5.480000000000018,-9.259999999999991,15.28000000000003,6.020000000000039,-9.259999999999991,15.819999999999993,6.560000000000002,-9.259999999999991
2011-03-18,318.95,318.72,319.56,0.22999999999996135,-0.6100000000000136,-0.839999999999975,310.75,310.31,310.58,0.4399999999999977,0.17000000000001592,-0.2699999999999818,310.75,310.31,310.58,0.4399999999999977,0.17000000000001592,-0.2699999999999818,16.1,15.06,14.98,1.040000000000001,1.120000000000001,0.08000000000000007,7.9,6.65,6.0,1.25,1.9000000000000004,0.6500000000000004,7.9,6.65,6.0,1.25,1.9000000000000004,0.6500000000000004,99.77,100.67,101.29,-0.9000000000000057,-1.5200000000000102,-0.6200000000000045,302.08,302.95,303.77,-0.8700000000000045,-1.6899999999999977,-0.8199999999999932,8.199999999999989,8.199999999999989,0.0,8.410000000000025,8.410000000000025,0.0,8.980000000000018,8.980000000000018,0.0
2011-03-25,324.89,323.97,325.15,0.9199999999999591,-0.2599999999999909,-1.17999999999995,315.38,315.54,316.2,-0.160000000000025,-0.8199999999999932,-0.6599999999999682,315.36,315.53,316.19,-0.16999999999995907,-0.8299999999999841,-0.660000000000025,17.55,15.2,14.98,2.3500000000000014,2.5700000000000003,0.21999999999999886,8.04,6.78,6.03,1.259999999999999,2.009999999999999,0.75,8.02,6.77,6.01,1.25,2.01,0.7599999999999998,104.62,105.26,105.74,-0.6400000000000006,-1.1199999999999903,-0.47999999999998977,306.01,307.63,309.09,-1.6200000000000045,-3.079999999999984,-1.4599999999999795,9.529999999999973,9.509999999999991,-0.01999999999998181,8.440000000000055,8.430000000000007,-0.010000000000047748,8.95999999999998,8.949999999999989,-0.009999999999990905
2011-04-01,326.16,325.23,325.63,0.9300000000000068,0.5300000000000296,-0.39999999999997726,315.98,316.0,316.75,-0.01999999999998181,-0.7699999999999818,-0.75,315.96,315.98,316.73,-0.020000000000038654,-0.7700000000000387,-0.75,17.97,15.86,15.07,2.1099999999999994,2.8999999999999986,0.7899999999999991,7.8,6.64,6.19,1.1600000000000001,1.6099999999999994,0.4499999999999993,7.77,6.62,6.17,1.1499999999999995,1.5999999999999996,0.4500000000000002,105.54,106.09,106.57,-0.5499999999999972,-1.029999999999987,-0.47999999999998977,306.61,308.19,309.38,-1.579999999999984,-2.769999999999982,-1.1899999999999977,10.200000000000045,10.180000000000007,-0.020000000000038654,9.25,9.230000000000018,-0.01999999999998181,8.899999999999977,8.879999999999995,-0.01999999999998181
